lat,lon,year,students,attainment
40.041111,-75.02644,2008,523,-31.211691
40.053511,-75.18858,2008,102,9.512132
40.055411,-75.13793,2008,59,-6.917164
40.055861,-75.15654,2008,312,-37.677142
40.057661,-75.08018,2008,844,-0.225629
40.059611,-75.04837,2008,82,-28.782268
40.064257,-75.00155,2008,199,13.846740
40.07226,-75.17106,2008,115,-9.121907
40.07236,-75.20772,2008,1,92.474750
40.09146,-74.97719,2008,236,-35.400437
40.09261,-75.04118,2008,64,6.168444
40.117413,-75.0154,2008,551,10.693733
39.898985,-75.23221,2009,1148,-19.277676
39.919812,-75.15803,2009,2352,-4.384453
39.922262,-75.18259,2009,1333,8.223711
39.922612,-75.23453,2009,1355,-29.852459
39.936562,-75.15409,2009,1320,45.022956
39.938512,-75.18067,2009,1039,-13.778102
39.944162,-75.22718,2009,2246,-25.035352
39.951062,-75.14589,2009,366,50.047813
39.952112,-75.15853,2009,3,-110.750700
39.952162,-75.17406,2009,436,53.825698
39.961612,-75.19957,2009,1482,-17.429764
39.961812,-75.23003,2009,2623,-26.898276
39.964012,-75.14764,2009,842,38.170592
39.968262,-75.17222,2009,1565,68.693199
39.975929,-75.25256,2009,998,-6.318496
39.977662,-75.14336,2009,985,-16.411950
39.978162,-75.12565,2009,1487,-25.035759
39.981062,-75.1745,2009,2204,-29.499564
39.981112,-75.22486,2009,1915,-39.748248
39.991712,-75.11116,2009,3817,-0.061206
39.992862,-75.14054,2009,1860,-21.742128
39.995412,-75.16977,2009,2067,-31.820045
40.011562,-75.1839,2009,360,-32.495624
40.012212,-75.14503,2009,3859,-32.698779
40.017362,-75.08769,2009,4444,-36.335430
40.023611,-75.04966,2009,763,7.534869
40.026626,-75.22311,2009,130,45.874138
40.033944,-75.12118,2009,5215,-20.060688
40.034111,-75.17203,2009,1730,-8.119390
40.035778,-75.1447,2009,2622,55.554764
40.037711,-75.06658,2009,2358,7.646091
40.038944,-75.22104,2009,1553,24.835755
